[nps1] attn_out 0x723134e00000  flags 0x723134f11000 / 0x723134f11000  weight 0x723134400000 (6.11 MiB)
[nps1] aid=0 coherent=0 split=0 hier_split=0
[nps1] 184 tiles (23/XCD), 256 threads, 400 layers, delay=0 skew=0, 736 polling waves
[OPROJ_INNER] slicewait=10.12 mfma=1.76 bar=6.68 rmsnorm_router=1.88 topk=2.88 total=23.32
[OPROJ_INNER] slicewait=11.48 mfma=1.76 bar=6.52 rmsnorm_router=1.88 topk=2.20 total=23.84
[OPROJ_INNER] slicewait=0.44 mfma=4.20 bar=2.12 rmsnorm_router=1.92 topk=2.64 total=11.32
[OPROJ_INNER] slicewait=7.48 mfma=1.88 bar=6.20 rmsnorm_router=1.64 topk=1.64 total=18.84
[OPROJ_INNER] slicewait=8.36 mfma=1.84 bar=6.24 rmsnorm_router=1.56 topk=0.44 total=18.44
[OPROJ_INNER] slicewait=5.48 mfma=1.84 bar=6.24 rmsnorm_router=1.60 topk=0.72 total=15.88
[OPROJ_INNER] slicewait=6.96 mfma=1.80 bar=6.52 rmsnorm_router=1.84 topk=1.96 total=19.08
[OPROJ_INNER] slicewait=4.92 mfma=1.88 bar=6.12 rmsnorm_router=1.64 topk=1.20 total=15.76
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.76 rmsnorm_router=1.48 topk=1.56 total=9.20
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=2.04 rmsnorm_router=1.56 topk=3.68 total=11.64
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=2.08 rmsnorm_router=1.48 topk=4.00 total=11.92
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.88 rmsnorm_router=1.48 topk=1.80 total=9.48
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.84 rmsnorm_router=1.48 topk=0.40 total=8.08
[OPROJ_INNER] slicewait=0.44 mfma=3.96 bar=1.92 rmsnorm_router=1.44 topk=0.80 total=8.56
[OPROJ_INNER] slicewait=0.44 mfma=3.96 bar=1.92 rmsnorm_router=1.60 topk=3.12 total=11.04
[OPROJ_INNER] slicewait=0.44 mfma=3.88 bar=2.04 rmsnorm_router=1.56 topk=2.52 total=10.44
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.52 rmsnorm_router=1.48 topk=0.84 total=8.20
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.84 rmsnorm_router=1.44 topk=3.92 total=11.56
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.84 rmsnorm_router=1.56 topk=3.80 total=11.52
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.64 rmsnorm_router=1.56 topk=2.72 total=10.28
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.72 rmsnorm_router=1.56 topk=3.64 total=11.24
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.52 rmsnorm_router=1.44 topk=0.60 total=7.96
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.48 rmsnorm_router=1.52 topk=1.92 total=9.32
[OPROJ_INNER] slicewait=0.40 mfma=3.92 bar=1.52 rmsnorm_router=1.52 topk=1.64 total=9.00
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.80 rmsnorm_router=1.60 topk=3.08 total=10.88
[OPROJ_INNER] slicewait=0.40 mfma=3.96 bar=1.72 rmsnorm_router=1.60 topk=3.80 total=11.48
[OPROJ_INNER] slicewait=0.44 mfma=4.00 bar=1.76 rmsnorm_router=1.56 topk=2.44 total=10.20
[OPROJ_INNER] slicewait=0.40 mfma=4.00 bar=1.56 rmsnorm_router=1.48 topk=0.44 total=7.88
