[AID] AID0 -> range 0, AID1 -> range 1
[AID] 2.00 MiB in AID0 (range 0, COHERENT set) -> 0x76e65d600000
[AID] 2.00 MiB in AID1 (range 1, COHERENT set) -> 0x76e65d200000
[aidcc] attn_out 0x76e664200000  flags 0x76e65d600000 / 0x76e65d200000  weight 0x76e65f600000 (6.11 MiB)
[aidcc] aid=1 coherent=1 split=1
[aidcc] 184 tiles (23/XCD), 256 threads, 200 layers, delay=0 skew=0, 736 polling waves
[OPROJ_INNER] slicewait=5.48 mfma=1.92 bar=6.40 rmsnorm_router=1.56 topk=1.56 total=16.92
[OPROJ_INNER] slicewait=6.44 mfma=1.84 bar=7.08 rmsnorm_router=1.76 topk=3.40 total=20.52
[OPROJ_INNER] slicewait=6.36 mfma=1.84 bar=6.52 rmsnorm_router=1.48 topk=1.24 total=17.44
[OPROJ_INNER] slicewait=7.84 mfma=1.88 bar=6.60 rmsnorm_router=1.48 topk=1.96 total=19.76
[OPROJ_INNER] slicewait=0.76 mfma=4.44 bar=3.16 rmsnorm_router=1.48 topk=2.08 total=11.92
[OPROJ_INNER] slicewait=5.56 mfma=1.88 bar=6.60 rmsnorm_router=1.48 topk=1.84 total=17.36
[OPROJ_INNER] slicewait=5.20 mfma=1.80 bar=6.92 rmsnorm_router=1.44 topk=2.80 total=18.16
[OPROJ_INNER] slicewait=6.64 mfma=1.84 bar=6.40 rmsnorm_router=1.68 topk=1.16 total=17.72
[OPROJ_INNER] slicewait=0.36 mfma=4.16 bar=2.92 rmsnorm_router=1.96 topk=1.48 total=10.88
[OPROJ_INNER] slicewait=0.32 mfma=4.20 bar=2.88 rmsnorm_router=1.76 topk=1.16 total=10.32
[OPROJ_INNER] slicewait=0.32 mfma=4.04 bar=3.28 rmsnorm_router=1.44 topk=0.76 total=9.84
[OPROJ_INNER] slicewait=0.36 mfma=4.08 bar=3.12 rmsnorm_router=1.48 topk=0.52 total=9.56
[OPROJ_INNER] slicewait=0.32 mfma=4.12 bar=4.00 rmsnorm_router=1.80 topk=3.04 total=13.28
[OPROJ_INNER] slicewait=0.36 mfma=4.04 bar=3.72 rmsnorm_router=1.72 topk=2.76 total=12.60
[OPROJ_INNER] slicewait=0.36 mfma=4.12 bar=2.96 rmsnorm_router=1.40 topk=0.52 total=9.36
[OPROJ_INNER] slicewait=0.36 mfma=4.04 bar=3.52 rmsnorm_router=1.52 topk=1.40 total=10.84
[OPROJ_INNER] slicewait=0.36 mfma=4.00 bar=3.72 rmsnorm_router=1.40 topk=0.88 total=10.36
[OPROJ_INNER] slicewait=0.32 mfma=4.00 bar=3.20 rmsnorm_router=1.80 topk=0.44 total=9.76
[OPROJ_INNER] slicewait=0.36 mfma=4.16 bar=3.88 rmsnorm_router=1.60 topk=2.76 total=12.76
[OPROJ_INNER] slicewait=0.32 mfma=4.12 bar=3.60 rmsnorm_router=1.68 topk=2.28 total=12.00
[OPROJ_INNER] slicewait=0.36 mfma=4.04 bar=3.88 rmsnorm_router=1.68 topk=1.96 total=11.92
[OPROJ_INNER] slicewait=0.36 mfma=4.04 bar=3.72 rmsnorm_router=1.68 topk=1.44 total=11.24
