"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 2",1,1321600,1321600,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897699569446,222897699571166
1,1,"Agent 2",1,1321600,1321600,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897699569446,222897699571166
2,2,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897699660806,222897699662726
2,2,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897699660806,222897699662726
3,3,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897699725447,222897699726607
3,3,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897699725447,222897699726607
4,4,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897699860570,222897699862490
4,4,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897699860570,222897699862490
5,5,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897699940851,222897699942131
5,5,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897699940851,222897699942131
6,6,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700117534,222897700119374
6,6,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700117534,222897700119374
7,7,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700242776,222897700243976
7,7,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700242776,222897700243976
8,8,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700366058,222897700367818
8,8,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700366058,222897700367818
9,9,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700490580,222897700491820
9,9,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700490580,222897700491820
10,10,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700610182,222897700611902
10,10,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700610182,222897700611902
11,11,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700733704,222897700735064
11,11,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700733704,222897700735064
12,12,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700853186,222897700855106
12,12,"Agent 2",1,1321600,1321600,2048,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_GMI_32B",0.00000000e+00,222897700853186,222897700855106
13,13,"Agent 2",1,1321600,1321600,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,8,0,48,"TCC_EA0_RDREQ_32B",0.00000000e+00,222897700975468,222897700976788
